"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Colombia","All sexes Children (0-14) upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","4486",""
"Colombia","All sexes Children (0-14) upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","4866",""
"Colombia","All sexes Children (0-14) upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","5266",""
"Colombia","All sexes Children (0-14) upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","5615",""
"Colombia","All sexes Children (0-14) upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","5791",""
"Colombia","All sexes Children (0-14) upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","5924",""
"Colombia","All sexes Children (0-14) upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","6069",""
"Colombia","All sexes Children (0-14) upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","6173",""
"Colombia","All sexes Children (0-14) upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","6153",""
"Colombia","All sexes Children (0-14) upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","6061",""
"Colombia","All sexes Children (0-14) upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","5611",""
"Colombia","All sexes Children (0-14) upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","5256",""
"Colombia","All sexes Children (0-14) upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","4861",""
"Colombia","All sexes Children (0-14) upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","4361",""
"Colombia","All sexes Children (0-14) upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","3887",""
"Colombia","All sexes Children (0-14) upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","3416",""
"Colombia","All sexes Children (0-14) upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","2926",""
"Colombia","All sexes Children (0-14) upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","2514",""
