"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Colombia","Females Adults (15+) lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","12088",""
"Colombia","Females Adults (15+) lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","8774",""
"Colombia","Females Adults (15+) lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","6080",""
"Colombia","Females Adults (15+) upper estimate","2014","UNAIDS_Spectrum Estimates_","Number","47503",""
"Colombia","Females Adults (15+) upper estimate","2013","UNAIDS_Spectrum Estimates_","Number","48063",""
"Colombia","Females Adults (15+) upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","49144",""
"Colombia","Females Adults (15+) upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","50272",""
"Colombia","Females Adults (15+) upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","51641",""
"Colombia","Females Adults (15+) upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","53058",""
"Colombia","Females Adults (15+) upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","54314",""
"Colombia","Females Adults (15+) upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","55331",""
"Colombia","Females Adults (15+) upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","56185",""
"Colombia","Females Adults (15+) upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","57424",""
"Colombia","Females Adults (15+) upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","58330",""
"Colombia","Females Adults (15+) upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","59267",""
"Colombia","Females Adults (15+) upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","59205",""
"Colombia","Females Adults (15+) upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","59095",""
"Colombia","Females Adults (15+) upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","58890",""
"Colombia","Females Adults (15+) upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","57421",""
"Colombia","Females Adults (15+) upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","55377",""
"Colombia","Females Adults (15+) upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","52927",""
"Colombia","Females Adults (15+) upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","50141",""
"Colombia","Females Adults (15+) upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","46987",""
"Colombia","Females Adults (15+) upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","41468",""
"Colombia","Females Adults (15+) upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","37737",""
"Colombia","Females Adults (15+) upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","33414",""
"Colombia","Females Adults (15+) upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","28244",""
"Colombia","Females Adults (15+) upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","21794",""
"Colombia","All sexes 50+ estimate","2014","UNAIDS_Spectrum Estimates_","Number","17937",""
"Colombia","All sexes 50+ estimate","2013","UNAIDS_Spectrum Estimates_","Number","16325",""
"Colombia","All sexes 50+ estimate","2012","UNAIDS_Spectrum Estimates_","Number","15059",""
"Colombia","All sexes 50+ estimate","2011","UNAIDS_Spectrum Estimates_","Number","13979",""
"Colombia","All sexes 50+ estimate","2010","UNAIDS_Spectrum Estimates_","Number","13149",""
"Colombia","All sexes 50+ estimate","2009","UNAIDS_Spectrum Estimates_","Number","12386",""
"Colombia","All sexes 50+ estimate","2008","UNAIDS_Spectrum Estimates_","Number","11563",""
"Colombia","All sexes 50+ estimate","2007","UNAIDS_Spectrum Estimates_","Number","10603",""
"Colombia","All sexes 50+ estimate","2006","UNAIDS_Spectrum Estimates_","Number","9619",""
"Colombia","All sexes 50+ estimate","2005","UNAIDS_Spectrum Estimates_","Number","8816",""
"Colombia","All sexes 50+ estimate","2004","UNAIDS_Spectrum Estimates_","Number","8002",""
"Colombia","All sexes 50+ estimate","2003","UNAIDS_Spectrum Estimates_","Number","7182",""
"Colombia","All sexes 50+ estimate","2002","UNAIDS_Spectrum Estimates_","Number","6377",""
"Colombia","All sexes 50+ estimate","2001","UNAIDS_Spectrum Estimates_","Number","5610",""
"Colombia","All sexes 50+ estimate","2000","UNAIDS_Spectrum Estimates_","Number","4894",""
"Colombia","All sexes 50+ estimate","1999","UNAIDS_Spectrum Estimates_","Number","4180",""
"Colombia","All sexes 50+ estimate","1998","UNAIDS_Spectrum Estimates_","Number","3460",""
"Colombia","All sexes 50+ estimate","1997","UNAIDS_Spectrum Estimates_","Number","2733",""
"Colombia","All sexes 50+ estimate","1996","UNAIDS_Spectrum Estimates_","Number","2033",""
"Colombia","All sexes 50+ estimate","1995","UNAIDS_Spectrum Estimates_","Number","1436",""
"Colombia","All sexes 50+ estimate","1994","UNAIDS_Spectrum Estimates_","Number","1013",""
"Colombia","All sexes 50+ estimate","1993","UNAIDS_Spectrum Estimates_","Number","731",""
"Colombia","All sexes 50+ estimate","1992","UNAIDS_Spectrum Estimates_","Number","529",""
"Colombia","All sexes 50+ estimate","1991","UNAIDS_Spectrum Estimates_","Number","376",""
"Colombia","All sexes 50+ estimate","1990","UNAIDS_Spectrum Estimates_","Number","259",""
"Colombia","All sexes 50+ lower estimate","2014","UNAIDS_Spectrum Estimates_","Number","13807",""
"Colombia","All sexes 50+ lower estimate","2013","UNAIDS_Spectrum Estimates_","Number","12646",""
"Colombia","All sexes 50+ lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","11716",""
"Colombia","All sexes 50+ lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","10909",""
"Colombia","All sexes 50+ lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","10320",""
"Colombia","All sexes 50+ lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","9719",""
"Colombia","All sexes 50+ lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","9065",""
"Colombia","All sexes 50+ lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","8316",""
"Colombia","All sexes 50+ lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","7550",""
"Colombia","All sexes 50+ lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","6918",""
"Colombia","All sexes 50+ lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","6276",""
"Colombia","All sexes 50+ lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","5627",""
"Colombia","All sexes 50+ lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","4980",""
"Colombia","All sexes 50+ lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","4384",""
"Colombia","All sexes 50+ lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","3814",""
"Colombia","All sexes 50+ lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","3220",""
"Colombia","All sexes 50+ lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","2626",""
"Colombia","All sexes 50+ lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","2009",""
"Colombia","All sexes 50+ lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","1463",""
"Colombia","All sexes 50+ lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","1022",""
"Colombia","All sexes 50+ lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","720",""
"Colombia","All sexes 50+ lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","518",""
"Colombia","All sexes 50+ lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","359",""
"Colombia","All sexes 50+ lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","242",""
"Colombia","All sexes 50+ lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","153",""
"Colombia","All sexes 50+ upper estimate","2014","UNAIDS_Spectrum Estimates_","Number","23310",""
"Colombia","All sexes 50+ upper estimate","2013","UNAIDS_Spectrum Estimates_","Number","21141",""
"Colombia","All sexes 50+ upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","19368",""
"Colombia","All sexes 50+ upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","17938",""
"Colombia","All sexes 50+ upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","16622",""
"Colombia","All sexes 50+ upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","15634",""
"Colombia","All sexes 50+ upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","14524",""
"Colombia","All sexes 50+ upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","13289",""
"Colombia","All sexes 50+ upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","12033",""
"Colombia","All sexes 50+ upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","10939",""
"Colombia","All sexes 50+ upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","9888",""
"Colombia","All sexes 50+ upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","8837",""
"Colombia","All sexes 50+ upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","7828",""
"Colombia","All sexes 50+ upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","6888",""
"Colombia","All sexes 50+ upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","6060",""
"Colombia","All sexes 50+ upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","5251",""
"Colombia","All sexes 50+ upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","4362",""
"Colombia","All sexes 50+ upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","3504",""
"Colombia","All sexes 50+ upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","2704",""
"Colombia","All sexes 50+ upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","2039",""
"Colombia","All sexes 50+ upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","1621",""
"Colombia","All sexes 50+ upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","1233",""
"Colombia","All sexes 50+ upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","983",""
"Colombia","All sexes 50+ upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","792",""
"Colombia","All sexes 50+ upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","582",""
"Colombia","Males Adults (15+) estimate","2014","UNAIDS_Spectrum Estimates_","Number","84404",""
"Colombia","Males Adults (15+) estimate","2013","UNAIDS_Spectrum Estimates_","Number","82113",""
"Colombia","Males Adults (15+) estimate","2012","UNAIDS_Spectrum Estimates_","Number","80338",""
"Colombia","Males Adults (15+) estimate","2011","UNAIDS_Spectrum Estimates_","Number","78921",""
"Colombia","Males Adults (15+) estimate","2010","UNAIDS_Spectrum Estimates_","Number","78345",""
"Colombia","Males Adults (15+) estimate","2009","UNAIDS_Spectrum Estimates_","Number","78052",""
"Colombia","Males Adults (15+) estimate","2008","UNAIDS_Spectrum Estimates_","Number","77642",""
"Colombia","Males Adults (15+) estimate","2007","UNAIDS_Spectrum Estimates_","Number","76604",""
"Colombia","Males Adults (15+) estimate","2006","UNAIDS_Spectrum Estimates_","Number","75205",""
"Colombia","Males Adults (15+) estimate","2005","UNAIDS_Spectrum Estimates_","Number","74569",""
"Colombia","Males Adults (15+) estimate","2004","UNAIDS_Spectrum Estimates_","Number","73873",""
"Colombia","Males Adults (15+) estimate","2003","UNAIDS_Spectrum Estimates_","Number","73065",""
"Colombia","Males Adults (15+) estimate","2002","UNAIDS_Spectrum Estimates_","Number","72123",""
"Colombia","Males Adults (15+) estimate","2001","UNAIDS_Spectrum Estimates_","Number","70995",""
"Colombia","Males Adults (15+) estimate","2000","UNAIDS_Spectrum Estimates_","Number","69568",""
"Colombia","Males Adults (15+) estimate","1999","UNAIDS_Spectrum Estimates_","Number","67159",""
"Colombia","Males Adults (15+) estimate","1998","UNAIDS_Spectrum Estimates_","Number","62568",""
"Colombia","Males Adults (15+) estimate","1997","UNAIDS_Spectrum Estimates_","Number","53448",""
"Colombia","Males Adults (15+) estimate","1996","UNAIDS_Spectrum Estimates_","Number","39727",""
"Colombia","Males Adults (15+) estimate","1995","UNAIDS_Spectrum Estimates_","Number","25301",""
"Colombia","Males Adults (15+) estimate","1994","UNAIDS_Spectrum Estimates_","Number","15447",""
"Colombia","Males Adults (15+) estimate","1993","UNAIDS_Spectrum Estimates_","Number","10093",""
"Colombia","Males Adults (15+) estimate","1992","UNAIDS_Spectrum Estimates_","Number","7041",""
"Colombia","Males Adults (15+) estimate","1991","UNAIDS_Spectrum Estimates_","Number","5058",""
"Colombia","Males Adults (15+) estimate","1990","UNAIDS_Spectrum Estimates_","Number","3562",""
"Colombia","Males Adults (15+) lower estimate","2014","UNAIDS_Spectrum Estimates_","Number","65011",""
"Colombia","Males Adults (15+) lower estimate","2013","UNAIDS_Spectrum Estimates_","Number","63560",""
"Colombia","Males Adults (15+) lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","62552",""
"Colombia","Males Adults (15+) lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","61581",""
"Colombia","Males Adults (15+) lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","61464",""
"Colombia","Males Adults (15+) lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","61295",""
"Colombia","Males Adults (15+) lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","60890",""
"Colombia","Males Adults (15+) lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","60095",""
"Colombia","Males Adults (15+) lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","59072",""
"Colombia","Males Adults (15+) lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","58555",""
"Colombia","Males Adults (15+) lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","57950",""
"Colombia","Males Adults (15+) lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","57240",""
"Colombia","Males Adults (15+) lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","56343",""
"Colombia","Males Adults (15+) lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","55336",""
"Colombia","Males Adults (15+) lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","54201",""
"Colombia","Males Adults (15+) lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","51694",""
"Colombia","Males Adults (15+) lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","47478",""
"Colombia","Males Adults (15+) lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","39418",""
"Colombia","Males Adults (15+) lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","28563",""
"Colombia","Males Adults (15+) lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","17983",""
"Colombia","Males Adults (15+) lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","10998",""
"Colombia","Males Adults (15+) lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","7168",""
"Colombia","Males Adults (15+) lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","4772",""
"Colombia","Males Adults (15+) lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","3239",""
"Colombia","Males Adults (15+) lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","2105",""
"Colombia","Males Adults (15+) upper estimate","2014","UNAIDS_Spectrum Estimates_","Number","109667",""
"Colombia","Males Adults (15+) upper estimate","2013","UNAIDS_Spectrum Estimates_","Number","106443",""
"Colombia","Males Adults (15+) upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","103380",""
"Colombia","Males Adults (15+) upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","101523",""
"Colombia","Males Adults (15+) upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","99116",""
"Colombia","Males Adults (15+) upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","98522",""
"Colombia","Males Adults (15+) upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","97559",""
"Colombia","Males Adults (15+) upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","96128",""
"Colombia","Males Adults (15+) upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","94067",""
"Colombia","Males Adults (15+) upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","92576",""
"Colombia","Males Adults (15+) upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","91302",""
"Colombia","Males Adults (15+) upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","90106",""
"Colombia","Males Adults (15+) upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","88824",""
"Colombia","Males Adults (15+) upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","87335",""
"Colombia","Males Adults (15+) upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","86110",""
"Colombia","Males Adults (15+) upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","84349",""
"Colombia","Males Adults (15+) upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","78788",""
"Colombia","Males Adults (15+) upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","68617",""
"Colombia","Males Adults (15+) upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","52853",""
"Colombia","Males Adults (15+) upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","35900",""
"Colombia","Males Adults (15+) upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","24662",""
"Colombia","Males Adults (15+) upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","16910",""
"Colombia","Males Adults (15+) upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","13074",""
"Colombia","Males Adults (15+) upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","10591",""
"Colombia","Males Adults (15+) upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","7954",""

